id,latitude,longitude,name
27584689,45.4606985,9.1489531,Q8
30407616,45.8042987,12.8881208,Esso
31011528,45.4451402,9.1198245,Q8
31298257,41.1671338,14.8833204,Unknown
31334839,45.4265821,9.2027266,Eni
31439409,45.0732478,11.7793996,Esso
47119895,44.4069584,8.952727,Unknown
61100893,46.465078,11.5396612,Api-Ip
81726485,44.4420573,8.9636861,Unknown
81731799,44.4499303,8.9728678,Planet Oil Via Emilia
81731815,44.4521149,8.978397,GENOVA G. ADAMOLI 361/2
81733329,44.4538209,8.9799492,G.M. di Gugino Vincenzo & C. snc
81733423,44.4545739,8.9848548,Eni Molassana 01068
86979761,44.4490167,8.9968711,Unknown
95754782,45.4982699,9.1673143,COIL
96047693,44.5298326,8.9404225,Campora Est
107989970,43.3322627,11.3142734,Eni
122182779,44.4010508,8.9462921,IP
122210542,44.4138972,8.9559916,Q8
131959104,45.1520296,11.3334402,Unknown
131964327,45.0208478,11.7168552,Eni
154858257,45.0700108,11.7855874,Unknown
155609412,44.4074001,8.9779852,Esso
173289410,44.4053954,8.9695496,Agip
186242021,45.7930226,11.9723309,Esso - Ostricaro
187053794,44.3977229,8.9489145,Unknown
187168238,44.4004185,8.9879153,Europam
187168948,44.3939677,9.0004519,Esso
187170492,44.3924299,9.0083786,Unknown
193860739,44.4198599,8.9670549,Europam
196162565,45.6570051,8.9797065,Q8
196404349,44.3555205,9.2100576,Esso
196421494,44.3213887,9.3214292,Esso
198017330,45.8046175,12.8804655,Eni
198233293,44.4114439,8.9530898,Unknown
198769059,44.3736191,9.0879584,Unknown
201641600,44.4105046,8.9030834,IP
203129748,45.7801575,12.0195317,Carburanti Agip De Bortoli Walter
203136238,45.7893053,12.0445451,Agip Feltrina Montebelluna
203136245,45.8211245,12.0115978,Dametto Giovanni Ingrosso Dametto
203729951,44.4111545,8.9007745,Q8
203730960,44.407084,8.8981259,Q8
205299079,44.4204957,8.9499666,Unknown
205307212,44.4286165,8.9560428,Unknown
206120272,44.4056152,8.9806431,IP
206153690,40.8438362,14.3623654,IP
206248643,44.4259231,8.8288964,Erg
206248676,44.4251662,8.8253368,Esso
206250407,44.4076587,8.9783754,Europam
206935054,44.4054068,8.9282661,Unknown
207204775,40.8085077,15.1148376,Q8
208518509,44.9144077,9.1910799,Occhio al Prezzo
208854524,44.1143877,9.8391164,Unknown
211067580,44.4210574,8.881113,Europam
211067589,44.4348495,8.8857782,Unknown
211123232,44.4340835,8.8930586,Tamoil
211263201,44.40135,8.9542292,Unknown
213396000,44.5149422,9.1547303,Unknown
213649606,45.769346,13.6467583,Vianello Luigi Gas
215541278,45.4088144,11.9030573,Q8 Easy Stanga
215541291,45.4102934,11.907196,Esso Express
215543602,45.3971501,11.8993345,TotalErg
215550122,45.4007543,11.8885642,Eni
215794336,44.1020608,9.8238423,Erg
215823249,45.396348,11.8880754,TE
215827913,45.3863532,11.8970654,Oil Italia
215930623,45.3899663,11.8710199,Esso
215930626,45.3900393,11.8795466,Agip
215935601,45.3894674,11.8667993,Esso
215935602,45.3944973,11.8654695,Api
215969926,45.4192166,11.8726224,Tamoil
216017516,44.404666,8.9530749,Europam
216017522,44.4046659,8.9552518,Unknown
218384707,44.4251041,8.8250043,Q8
218404262,46.1402785,12.1810909,Azzalini
218404267,46.0839893,12.1426554,Repsol
218966871,44.4199462,8.8586402,Unknown
219043241,45.4330047,11.8982955,Esso
219043250,45.4318773,11.8986362,IP
219043256,45.431657,11.8981133,Q8
221915621,46.4847474,11.2941725,Q8
221915626,46.4714786,11.3168626,Shell
221915633,46.0958611,11.0974678,ENI
221922466,46.0448287,11.4228045,Unknown
221922471,46.6467544,11.1770771,Tamoil
226734839,45.9040856,11.9416469,Esso
226738159,45.916094,11.941881,Agip
226743024,45.8975,11.9811111,Energyca
226750185,45.790495,11.929071,Esso
226754311,45.7916281,12.1584135,Q8
226754502,45.889799,12.003014,Tamoil
226754506,45.1286637,7.6903264,Agip
226899179,45.78505,12.0064246,Gal oil
226899180,45.434391,12.190914,Esso
226899326,45.8088491,11.9745109,EP
226899332,45.36282,11.870588,Esso
226899456,45.7437792,11.5230087,Eni
226899715,45.430606,10.97831,Tamoil
