transaction_id,amount,erogation_type,card_id,fuel_price,time,employee_id,vehicle_id,latitude,longitude
U_000,19.591554419230306,service,U_006,1.2613189131163307,2024-11-01,U_013,U_019,45.488801,9.1549185
U_001,47.117281589411746,self,U_006,1.1839550403866776,2024-11-01,U_013,U_019,45.5701484,9.1982087
U_002,18.289106737074537,service,U_002,1.6507799324783343,2024-11-01,U_006,U_010,45.8611518,11.8980143
U_003,11.244205530529246,self,U_014,1.3915169688268818,2024-11-01,U_018,U_006,45.2496602,7.7417766
U_004,25.268917885667943,service,U_017,1.4123772923867404,2024-11-01,U_001,U_007,40.612923,14.9750923
U_005,10.935819749524002,service,U_016,1.340362493048933,2024-11-01,U_017,U_009,40.9747423,14.1451551
U_006,33.78218544987149,service,U_001,2.0381074219821524,2024-11-01,U_013,U_019,45.71042,9.16765
U_007,17.50817188749358,service,U_012,1.4916313907292291,2024-11-01,U_011,U_007,40.5982457,15.5077909
U_008,47.759690409273105,service,U_002,2.4534361482237443,2024-11-01,U_006,U_010,45.471854,12.229076
U_009,59.67047263362741,self,U_004,1.264732621546989,2024-11-01,U_013,U_019,45.6511463,8.8964735
U_010,18.109468396974556,self,U_013,2.1266296262653572,2024-11-01,U_000,U_002,41.0587556,9.517122
U_011,43.3602495917128,self,U_008,1.2295215123226533,2024-11-01,U_009,U_012,44.5747234,10.9072579
U_012,29.34205239410327,self,U_010,1.0614685495191547,2024-11-01,U_010,U_001,45.2743127,8.0759735
U_013,55.19097725233396,self,U_008,1.6028567377126726,2024-11-01,U_009,U_012,44.7050595,10.5936205
U_014,23.054266319032507,service,U_013,2.20905606239611,2024-11-01,U_000,U_002,40.920215,9.195809
U_015,41.1725516864445,service,U_013,1.8864860958901652,2024-11-01,U_000,U_002,41.0785185,9.3897302
U_016,50.71154274671868,service,U_005,2.441450692673718,2024-11-01,U_018,U_006,45.079572,7.645778
U_017,52.17839255799001,self,U_012,2.0731014830559698,2024-11-01,U_011,U_007,40.2268179,15.5595534
U_018,33.077037307193436,self,U_014,2.1377339905872645,2024-11-01,U_018,U_006,45.0894784,7.678148
U_019,17.160701219045713,service,U_005,1.5957722407122608,2024-11-01,U_018,U_006,45.1567173,7.7094381
U_020,14.344853417038447,service,U_002,2.089030585045292,2024-11-01,U_006,U_010,45.733309,12.133098
U_021,42.852818194147424,self,U_008,1.436925407488117,2024-11-01,U_009,U_012,45.0064283,10.7665857
U_022,32.76631753714483,service,U_007,1.2653398754358736,2024-11-01,U_003,U_011,45.6664045,9.9596002
U_023,57.184058591273335,service,U_009,1.4463103780421163,2024-11-01,U_013,U_019,45.8480003,9.370253
U_024,17.149357703017145,self,U_012,2.116821282073256,2024-11-01,U_011,U_007,40.6006708,14.9760345
U_025,39.1836541977396,self,U_008,1.9382259004752103,2024-11-01,U_009,U_012,44.794243,10.611661
U_026,31.93465314586233,self,U_001,1.627086189990187,2024-11-01,U_013,U_019,45.1387015,9.6849816
U_027,38.376196579014064,service,U_009,1.598548703347826,2024-11-01,U_013,U_019,45.585974,8.902654
U_028,50.62020256638184,service,U_002,2.278058240659697,2024-11-01,U_006,U_010,45.678943,12.265565
U_029,28.89369008607613,service,U_008,1.132650138026719,2024-11-01,U_009,U_012,44.9218909,11.0944144
U_030,49.88833971599183,service,U_009,2.0249006737852175,2024-11-01,U_013,U_019,45.5698156,9.2941355
U_031,11.59273161693675,self,U_010,1.0677247041397848,2024-11-01,U_010,U_001,45.0147208,7.9358558
U_032,21.55348621770879,service,U_003,2.2871763955131796,2024-11-01,U_014,U_018,43.9202813,8.0981128
U_033,22.239534068185094,service,U_009,1.9923359771526592,2024-11-01,U_013,U_019,45.416889,9.205298
U_034,18.300025636160264,service,U_012,1.379542375899578,2024-11-01,U_011,U_007,40.3817512,15.7472813
U_035,11.311237931558484,self,U_013,1.3151172792664767,2024-11-01,U_000,U_002,40.905187,9.099291
U_036,46.57161088907519,self,U_003,2.1900318005934807,2024-11-01,U_014,U_018,44.0047436,8.1689822
U_037,23.27771392249155,service,U_017,2.408844147433982,2024-11-01,U_001,U_007,40.2268179,15.5595534
U_038,10.575115816641258,self,U_016,1.1246911034599798,2024-11-01,U_017,U_009,41.4750316,14.0497984
U_039,45.96691443059483,self,U_002,1.3713124629511544,2024-11-01,U_006,U_010,45.3413587,12.0137322
U_040,48.33646350514918,service,U_005,1.4017934100803848,2024-11-01,U_018,U_006,45.053033,7.634801
U_041,45.062293464304325,service,U_012,2.3515282908339774,2024-11-01,U_011,U_007,41.0425124,15.2573839
U_042,33.05183915341881,self,U_003,1.3542873948654612,2024-11-01,U_014,U_018,43.8088459,7.7346276
U_043,56.25736087846055,service,U_006,2.0789932698528104,2024-11-01,U_013,U_019,45.5226041,9.3767195
U_044,34.180527798787125,service,U_005,1.1578709173705122,2024-11-01,U_018,U_006,45.575634,8.1862855
U_045,26.441900895771543,service,U_006,2.4336548342212048,2024-11-01,U_013,U_019,45.504625,9.372572
U_046,55.42444997898952,self,U_018,2.0397357740203983,2024-11-01,U_018,U_006,45.5881114,7.8018885
U_047,22.203311758023858,self,U_000,1.9126700521815359,2024-11-01,U_008,U_009,41.4644576,13.7850743
U_048,39.64838185788147,service,U_019,1.1209400764793083,2024-11-01,U_007,U_000,41.0553286,14.909367
U_049,19.652052424950043,self,U_010,2.2998938759425833,2024-11-01,U_010,U_001,45.1515864,8.0521173
U_050,43.432379405207556,service,U_009,1.7469013278658658,2024-11-01,U_013,U_019,45.5250245,9.2745891
U_051,42.19560379774521,self,U_012,2.2936793577973686,2024-11-01,U_011,U_007,40.6814993,15.2538526
U_052,38.973629246515955,service,U_016,1.7357992505843591,2024-11-01,U_017,U_009,41.587992,13.3043484
U_053,15.627432437595786,self,U_010,1.605587643436997,2024-11-01,U_010,U_001,45.055606,7.6850857
U_054,53.71720893118688,service,U_008,2.2674685445576546,2024-11-01,U_009,U_012,44.8938184,10.2574942
U_055,14.850865480756955,service,U_003,2.0916271061689002,2024-11-01,U_014,U_018,43.8219234,7.7669295
U_056,14.705777786146136,service,U_001,1.4077923633873484,2024-11-01,U_013,U_019,45.325823,8.8761434
U_057,56.40346467656079,self,U_014,2.389167827095748,2024-11-01,U_018,U_006,45.0810238,7.730071
U_058,15.538387653975025,service,U_012,2.35688302328387,2024-11-01,U_011,U_007,40.4515185,15.6653789
U_059,22.592824417001975,service,U_007,1.0129040231492275,2024-11-01,U_003,U_011,45.167364,9.973859
U_060,24.808338046619525,service,U_005,2.417320004711317,2024-11-01,U_018,U_006,45.3694356,8.1612364
U_061,13.103251953419495,self,U_011,1.7387944197982856,2024-11-01,U_000,U_002,40.9217129,9.4827573
U_062,44.66613328597655,self,U_000,1.5153334100008908,2024-11-01,U_008,U_009,41.6096341,14.2389575
U_063,30.918573617066567,service,U_010,2.2898188967385495,2024-11-01,U_010,U_001,45.4837,7.9059088
U_064,59.48607916000298,self,U_017,1.8302472709390654,2024-11-01,U_001,U_007,40.9044073,15.6894526
U_065,42.17724446918015,self,U_006,1.2460245882931358,2024-11-01,U_013,U_019,45.4933642,9.1561305
U_066,27.302106136804003,service,U_012,2.3091409424547824,2024-11-01,U_011,U_007,40.317694,15.7904201
U_067,50.75557516120206,service,U_005,1.8026637453845487,2024-11-01,U_018,U_006,45.1568901,7.7521312
U_068,36.23656278836978,service,U_018,1.8636810154580965,2024-11-01,U_018,U_006,45.0518029,7.6684282
U_069,39.08448092922599,service,U_014,2.2134295992285558,2024-11-01,U_018,U_006,45.053889,7.634444
U_070,28.368269046827514,self,U_018,1.3797459244928332,2024-11-01,U_018,U_006,45.0367015,7.6717274
U_071,11.115584791401991,service,U_015,2.1106457302208623,2024-11-01,U_001,U_007,40.7877511,15.7607581
U_072,42.04174427870052,self,U_008,1.194597589614582,2024-11-01,U_009,U_012,44.3074925,10.7326813
U_073,52.05422153072232,service,U_018,2.4067603124054746,2024-11-01,U_018,U_006,45.5558664,8.0263363
U_074,56.739680108341815,self,U_009,2.335827247842489,2024-11-01,U_013,U_019,45.6836149,9.7410797
U_075,43.13814470919298,service,U_012,1.2130515067841119,2024-11-01,U_011,U_007,40.2914927,15.6406395
U_076,45.331433002423864,service,U_013,2.0988822845344233,2024-11-01,U_000,U_002,41.0042201,9.6084779
U_077,24.58865388270492,self,U_014,1.8713444334435723,2024-11-01,U_018,U_006,45.0389278,7.6525882
U_078,44.04380495282073,service,U_018,1.251457529607192,2024-11-01,U_018,U_006,45.387073,8.13363
U_079,48.78045103536195,service,U_006,2.0814039508351008,2024-11-01,U_013,U_019,45.0303886,9.6763425
U_080,12.362710188382067,self,U_015,1.768434315885295,2024-11-01,U_001,U_007,40.4526794,15.0117303
U_081,52.3405387809675,service,U_008,1.5735925276500522,2024-11-01,U_009,U_012,44.9078038,10.658243
U_082,26.217255682896315,self,U_005,1.840092040472101,2024-11-01,U_018,U_006,45.4450518,7.8451649
